sku,title,price,available_quantity,condition
SKU001,Samsung Galaxy S24 Ultra 256GB,6999.99,15,new
SKU002,iPhone 15 Pro 128GB,7499.99,8,new
SKU003,Notebook Dell Inspiron i5,3500.00,5,new
SKU004,Monitor LG 27 Full HD,1200.00,10,new
SKU005,Mouse Logitech MX Master 3,499.99,20,new
SKU006,Teclado Mecânico Redragon,299.99,12,new
SKU007,Fone Bluetooth Sony WH-1000XM4,1899.99,7,new
SKU008,Smart TV Samsung 50 4K,2799.99,4,new
SKU009,Tablet iPad Air 64GB,4299.99,6,new
SKU010,Console PlayStation 5,3999.99,3,new